Order_id,Order_date,Delivery_date,Customer_id,Order_Item,Order_Qty,Order_Value,Payment_Type,Channel
O00000085,2026-01-04,2026-01-11,C000073,Wellness,3,5623.66,Debit Card,Qcom
O00000086,2026-01-14,2026-01-19,C000074,Skincare,2,3929.67,UPI,Website
O00000087,2026-01-05,2026-01-12,C000074,Makeup,1,1251.78,UPI,GoogleAds
O00000088,2026-01-27,2026-02-01,C000075,Skincare,1,1518.05,UPI,Ecom
O00000089,2026-01-25,2026-02-01,C000076,Makeup,1,965.16,Debit Card,Website
O00000090,2026-01-26,2026-01-31,C000077,Haircare,1,1579.01,UPI,Qcom
O00000091,2026-01-18,2026-01-19,C000078,Skincare,2,6222.1,Debit Card,Website
O00000092,2026-01-03,2026-01-04,C000079,Makeup,1,1658.94,UPI,Ecom
O00000093,2026-01-09,2026-01-12,C000079,Haircare,1,1009.84,COD,Qcom
O00000094,2026-01-05,2026-01-09,C000080,Makeup,2,1309.56,Credit Card,Website
O00000095,2026-01-25,2026-01-30,C000080,Haircare,1,1812.63,Debit Card,Qcom
O00000096,2026-01-08,2026-01-14,C000081,Bath & Body,2,2000.31,Net Banking,Website
O00000097,2026-01-21,2026-01-25,C000082,Haircare,1,1455.5,Debit Card,Ecom
O00000098,2026-01-25,2026-02-01,C000082,Haircare,2,1030.64,UPI,Meta
O00000099,2026-01-22,2026-01-29,C000083,Fragrance,1,2932.9,Net Banking,GoogleAds
O00000100,2026-01-26,2026-01-28,C000084,Haircare,1,1156.1,Debit Card,Ecom
O00000101,2026-01-07,2026-01-09,C000084,Wellness,2,2821.56,Credit Card,Website
O00000102,2026-01-06,2026-01-11,C000085,Haircare,1,1955.64,Credit Card,GoogleAds
O00000103,2026-01-21,2026-01-27,C000086,Haircare,1,954.27,Credit Card,Meta
O00000104,2026-01-22,2026-01-27,C000086,Makeup,3,1050.03,UPI,Meta
O00000105,2026-01-08,2026-01-14,C000087,Haircare,1,1191.37,Credit Card,Ecom
O00000106,2026-01-09,2026-01-12,C000088,Fragrance,2,2726.46,UPI,Qcom
O00000107,2026-01-12,2026-01-14,C000089,Skincare,2,2593.46,UPI,Website
O00000108,2026-01-01,2026-01-05,C000090,Haircare,1,1637.91,Net Banking,Qcom
O00000109,2026-01-02,2026-01-09,C000091,Haircare,2,2623.41,UPI,Meta
O00000110,2026-01-15,2026-01-19,C000092,Haircare,1,1425.62,Debit Card,Ecom
O00000111,2026-01-10,2026-01-12,C000092,Haircare,3,5413.24,UPI,Qcom
O00000112,2026-01-22,2026-01-26,C000093,Makeup,1,971.26,Net Banking,Meta
O00000113,2026-01-18,2026-01-19,C000093,Skincare,1,1370.46,UPI,Meta
O00000114,2026-01-06,2026-01-13,C000094,Bath & Body,1,652.59,Net Banking,Ecom
O00000115,2026-01-04,2026-01-05,C000095,Makeup,1,1276.74,Net Banking,Qcom
O00000116,2026-01-06,2026-01-07,C000096,Haircare,1,961.79,UPI,Qcom
O00000117,2026-01-24,2026-01-29,C000097,Makeup,1,845.57,UPI,Website
O00000118,2026-01-24,2026-01-27,C000098,Haircare,3,2727.89,UPI,GoogleAds
O00000119,2026-01-23,2026-01-28,C000099,Haircare,1,1442.15,Credit Card,Qcom
O00000120,2026-01-27,2026-02-03,C000100,Haircare,1,2329.02,UPI,Website
O00000121,2026-01-11,2026-01-15,C000101,Skincare,1,764.5,UPI,GoogleAds
O00000122,2026-01-03,2026-01-04,C000102,Skincare,3,7060.88,UPI,Website
O00000123,2026-01-18,2026-01-20,C000103,Haircare,1,1481.47,Credit Card,Ecom
O00000124,2026-01-12,2026-01-15,C000103,Bath & Body,1,499.8,UPI,Qcom
O00000125,2026-01-03,2026-01-08,C000104,Skincare,2,2205.3,UPI,Ecom
O00000126,2026-01-26,2026-01-31,C000105,Wellness,1,1544.62,Debit Card,Qcom
O00000127,2026-01-20,2026-01-27,C000106,Makeup,1,416.02,Credit Card,Meta
O00000128,2026-01-11,2026-01-18,C000107,Haircare,1,2066.06,UPI,Ecom
O00000129,2026-01-10,2026-01-14,C000107,Skincare,1,2445.13,Credit Card,Qcom
O00000130,2026-01-01,2026-01-07,C000108,Makeup,1,1592.71,Net Banking,Qcom
O00000131,2026-01-06,2026-01-12,C000109,Bath & Body,2,1575.93,Debit Card,Qcom
O00000132,2026-01-18,2026-01-26,C000110,Skincare,1,1129.83,COD,Qcom
O00000133,2026-01-10,2026-01-12,C000111,Haircare,1,1469.99,Net Banking,GoogleAds
O00000134,2026-01-04,2026-01-08,C000112,Fragrance,2,5543.75,Debit Card,Qcom
O00000135,2026-01-07,2026-01-13,C000113,Skincare,2,2033.9,Credit Card,Ecom
O00000136,2026-01-25,2026-01-29,C000114,Haircare,1,1797.76,COD,Ecom
O00000137,2026-01-08,2026-01-12,C000114,Haircare,3,5386.66,UPI,GoogleAds
O00000138,2026-01-24,2026-02-01,C000115,Haircare,2,3181.97,UPI,Ecom
O00000139,2026-01-06,2026-01-11,C000115,Haircare,1,2080.12,UPI,Ecom
O00000140,2026-01-24,2026-01-27,C000116,Haircare,2,1484.5,Debit Card,Meta
O00000141,2026-01-19,2026-01-23,C000117,Haircare,2,3739.71,UPI,Website
O00000142,2026-01-12,2026-01-14,C000117,Haircare,3,2757.16,Debit Card,Ecom
O00000143,2026-01-02,2026-01-03,C000118,Haircare,1,1200.38,Credit Card,Website
O00000144,2026-01-23,2026-01-28,C000119,Fragrance,1,1922.82,COD,Ecom
O00000145,2026-01-20,2026-01-26,C000120,Haircare,2,4795.84,COD,GoogleAds
O00000146,2026-01-12,2026-01-15,C000121,Fragrance,1,2785.27,COD,Ecom
O00000147,2026-01-09,2026-01-15,C000122,Makeup,1,473.48,UPI,Meta
O00000148,2026-01-04,2026-01-09,C000123,Makeup,1,454.03,COD,Ecom
O00000149,2026-01-17,2026-01-19,C000124,Skincare,1,2066.03,UPI,Ecom
O00000150,2026-01-08,2026-01-13,C000124,Skincare,1,1730.18,UPI,Meta
O00000151,2026-01-02,2026-01-09,C000125,Skincare,2,4845.14,UPI,Qcom
O00000152,2026-01-23,2026-01-27,C000126,Skincare,1,1017.54,UPI,Ecom
O00000153,2026-01-01,2026-01-02,C000126,Bath & Body,1,728.41,UPI,Meta
O00000154,2026-01-18,2026-01-25,C000127,Skincare,1,2668.83,Debit Card,Qcom
O00000155,2026-01-13,2026-01-20,C000127,Skincare,1,1902.98,COD,Ecom
O00000156,2026-01-03,2026-01-07,C000128,Haircare,2,2421.76,UPI,Meta
O00000157,2026-01-16,2026-01-19,C000128,Haircare,2,3524.23,UPI,Meta
O00000158,2026-01-09,2026-01-12,C000129,Haircare,1,1375.89,COD,Meta
O00000159,2026-01-08,2026-01-13,C000130,Skincare,2,3247.55,UPI,Ecom
O00000160,2026-01-27,2026-01-31,C000131,Haircare,1,992.86,UPI,Ecom
O00000161,2026-01-01,2026-01-07,C000132,Fragrance,2,3449.35,UPI,Qcom
O00000162,2026-01-22,2026-01-25,C000133,Skincare,1,2156.01,UPI,Ecom
O00000163,2026-01-15,2026-01-20,C000134,Haircare,1,1897.74,UPI,Website
O00000164,2026-01-15,2026-01-20,C000135,Haircare,1,2296.75,Credit Card,GoogleAds
O00000165,2026-01-12,2026-01-17,C000136,Haircare,2,2135.18,UPI,Qcom
O00000166,2026-01-02,2026-01-06,C000137,Haircare,2,3066.42,UPI,Website
O00000167,2026-01-23,2026-01-27,C000138,Bath & Body,1,716.03,UPI,Meta
O00000168,2026-01-22,2026-01-28,C000138,Skincare,1,2568.43,COD,Qcom
O00000169,2026-01-04,2026-01-06,C000139,Bath & Body,3,1838.51,Net Banking,Qcom
O00000170,2026-01-07,2026-01-09,C000140,Wellness,1,1612.68,Net Banking,Meta
O00000171,2026-01-15,2026-01-19,C000140,Skincare,1,1847.98,Debit Card,Ecom
O00000172,2026-01-27,2026-01-28,C000141,Skincare,3,7664.48,Credit Card,Website
O00000173,2026-01-26,2026-01-27,C000142,Haircare,3,1746.16,COD,Website
O00000174,2026-01-17,2026-01-22,C000143,Haircare,1,1938.14,Net Banking,Ecom
O00000175,2026-01-06,2026-01-10,C000144,Skincare,2,2980.09,Debit Card,Website
O00000176,2026-01-13,2026-01-20,C000145,Haircare,1,2482.56,UPI,Website
O00000177,2026-01-06,2026-01-12,C000146,Haircare,1,1600.98,Credit Card,Meta
O00000178,2026-01-18,2026-01-22,C000147,Haircare,1,929.41,Net Banking,Meta
O00000179,2026-01-19,2026-01-25,C000148,Fragrance,1,3162.28,UPI,GoogleAds
O00000180,2026-01-17,2026-01-24,C000148,Skincare,3,7828.23,Debit Card,Qcom
O00000181,2026-01-26,2026-01-31,C000149,Haircare,1,2004.7,Credit Card,Qcom
O00000182,2026-01-13,2026-01-21,C000150,Haircare,3,4981.05,Debit Card,Website
O00000183,2026-01-07,2026-01-09,C000151,Skincare,3,3122.2,UPI,GoogleAds
O00000184,2026-01-17,2026-01-23,C000152,Haircare,1,633.85,COD,GoogleAds
O00000185,2026-01-27,2026-01-29,C000153,Skincare,1,1901.22,COD,GoogleAds
O00000186,2026-01-11,2026-01-19,C000154,Skincare,2,3002.97,UPI,Qcom
O00000187,2026-01-05,2026-01-07,C000155,Wellness,3,3676.11,UPI,Qcom
O00000188,2026-01-03,2026-01-09,C000156,Bath & Body,1,820.68,Net Banking,GoogleAds
O00000189,2026-01-13,2026-01-15,C000157,Skincare,1,1294.32,UPI,Website
O00000190,2026-01-06,2026-01-07,C000158,Fragrance,1,2240.13,Net Banking,GoogleAds
O00000191,2026-01-02,2026-01-04,C000159,Bath & Body,2,2389.54,Debit Card,Website
O00000192,2026-01-14,2026-01-18,C000160,Skincare,1,2608.06,UPI,Qcom
O00000193,2026-01-03,2026-01-05,C000161,Haircare,1,1367.53,Credit Card,Website
O00000194,2026-01-14,2026-01-19,C000162,Skincare,1,3279.26,Debit Card,Ecom
O00000195,2026-01-03,2026-01-06,C000163,Haircare,3,3951.25,Credit Card,Ecom
O00000196,2026-01-06,2026-01-07,C000164,Haircare,1,889.89,COD,Ecom
O00000197,2026-01-20,2026-01-21,C000165,Skincare,2,5628.6,Net Banking,Qcom
O00000198,2026-01-16,2026-01-24,C000166,Bath & Body,2,722.01,UPI,Ecom
O00000199,2026-01-20,2026-01-22,C000166,Haircare,2,2155.32,Net Banking,Qcom
O00000200,2026-01-13,2026-01-17,C000167,Fragrance,2,3648.18,UPI,Meta
O00000201,2026-01-21,2026-01-28,C000168,Haircare,1,1826.86,Debit Card,Ecom
O00000202,2026-01-20,2026-01-25,C000169,Haircare,3,6181.14,UPI,Qcom
O00000203,2026-01-08,2026-01-16,C000169,Fragrance,1,1804.55,UPI,Qcom
O00000204,2026-01-25,2026-01-29,C000170,Haircare,2,1676.9,UPI,Qcom
O00000205,2026-01-15,2026-01-20,C000171,Fragrance,1,2993.64,Net Banking,Ecom
O00000206,2026-01-13,2026-01-15,C000172,Haircare,1,1631.08,UPI,GoogleAds
O00000207,2026-01-13,2026-01-14,C000173,Haircare,2,1709.28,Credit Card,Qcom
O00000208,2026-01-08,2026-01-14,C000174,Fragrance,1,1046.44,UPI,Qcom
O00000209,2026-01-16,2026-01-20,C000175,Haircare,3,7404.51,Debit Card,Qcom
O00000210,2026-01-26,2026-02-01,C000176,Haircare,2,2383.69,Credit Card,GoogleAds
O00000211,2026-01-20,2026-01-23,C000177,Skincare,3,7637.68,Credit Card,Website
O00000212,2026-01-06,2026-01-11,C000178,Haircare,1,1083.74,Credit Card,Qcom
O00000213,2026-01-15,2026-01-16,C000179,Haircare,2,2826.4,Credit Card,Qcom
O00000214,2026-01-27,2026-01-31,C000179,Wellness,1,811.13,UPI,Qcom
O00000215,2026-01-02,2026-01-03,C000180,Skincare,1,1827.29,Credit Card,Qcom
O00000216,2026-01-14,2026-01-21,C000181,Bath & Body,3,2773.18,UPI,Ecom
O00000217,2026-01-11,2026-01-14,C000182,Skincare,1,2675.1,Credit Card,Meta
O00000218,2026-01-02,2026-01-05,C000183,Haircare,2,3107.33,UPI,Qcom
O00000219,2026-01-16,2026-01-20,C000184,Haircare,1,2275.51,Net Banking,Qcom
O00000220,2026-01-12,2026-01-20,C000185,Haircare,1,1406.73,UPI,Website
O00000221,2026-01-25,2026-01-29,C000186,Haircare,1,2097.84,UPI,Qcom
O00000222,2026-01-22,2026-01-30,C000187,Bath & Body,1,890.97,Credit Card,Meta
O00000223,2026-01-18,2026-01-26,C000188,Skincare,1,1330.49,UPI,Meta
O00000224,2026-01-22,2026-01-25,C000189,Skincare,1,1591.07,Debit Card,GoogleAds
O00000225,2026-01-04,2026-01-07,C000190,Wellness,1,834.98,UPI,Ecom
O00000226,2026-01-08,2026-01-11,C000191,Haircare,1,2395.67,UPI,Website
O00000227,2026-01-24,2026-01-25,C000192,Haircare,3,3726.97,Debit Card,Meta
O00000228,2026-01-24,2026-01-26,C000192,Haircare,1,607.67,UPI,GoogleAds
O00000229,2026-01-16,2026-01-22,C000193,Haircare,1,640.64,Credit Card,Meta
O00000230,2026-01-13,2026-01-16,C000194,Makeup,1,578.34,Net Banking,Qcom
O00000231,2026-01-07,2026-01-15,C000195,Skincare,1,1440.34,Debit Card,Website
O00000232,2026-01-22,2026-01-24,C000196,Haircare,1,938.2,Debit Card,Qcom
O00000233,2026-01-21,2026-01-27,C000196,Skincare,1,1579.94,Net Banking,Ecom
O00000234,2026-01-12,2026-01-18,C000197,Bath & Body,3,3007.87,Net Banking,GoogleAds
O00000235,2026-01-03,2026-01-05,C000198,Haircare,1,1534.59,Net Banking,Meta
O00000236,2026-01-02,2026-01-10,C000199,Wellness,1,573.66,UPI,GoogleAds
O00000237,2026-01-25,2026-01-26,C000200,Haircare,2,1882.49,Credit Card,GoogleAds
O00000238,2026-01-04,2026-01-10,C000201,Haircare,1,1701.16,UPI,Ecom
O00000239,2026-01-20,2026-01-21,C000202,Skincare,1,777.65,Debit Card,Qcom
O00000240,2026-01-17,2026-01-22,C000203,Bath & Body,1,317.06,Debit Card,Website
O00000241,2026-01-09,2026-01-12,C000204,Bath & Body,2,1481.43,Net Banking,Ecom
O00000242,2026-01-24,2026-01-26,C000205,Skincare,1,2988.46,COD,GoogleAds
O00000243,2026-01-21,2026-01-23,C000206,Bath & Body,1,435.05,UPI,Qcom
O00000244,2026-01-24,2026-01-26,C000206,Haircare,1,1116.66,UPI,Qcom
O00000245,2026-01-15,2026-01-23,C000207,Bath & Body,1,439.6,Credit Card,Website
O00000246,2026-01-15,2026-01-17,C000208,Skincare,1,1217.1,UPI,Ecom
O00000247,2026-01-15,2026-01-17,C000209,Skincare,2,2856.63,UPI,Ecom
O00000248,2026-01-02,2026-01-05,C000210,Fragrance,2,6117.74,Credit Card,Ecom
O00000249,2026-01-14,2026-01-17,C000211,Bath & Body,1,693.56,Net Banking,Qcom
O00000250,2026-01-20,2026-01-22,C000212,Skincare,1,1340.81,UPI,Meta
O00000251,2026-01-20,2026-01-25,C000212,Makeup,1,1208.37,Credit Card,Website
O00000252,2026-01-20,2026-01-25,C000213,Skincare,2,3571.51,UPI,Qcom
O00000253,2026-01-21,2026-01-28,C000214,Skincare,2,2056.8,UPI,Meta
O00000254,2026-01-07,2026-01-13,C000215,Haircare,2,1353.91,Debit Card,Ecom
O00000255,2026-01-20,2026-01-28,C000216,Skincare,2,4153.37,UPI,Website
O00000256,2026-01-09,2026-01-12,C000216,Skincare,1,1432.31,UPI,Website
O00000257,2026-01-27,2026-02-04,C000217,Skincare,2,4885.79,Credit Card,Qcom
O00000258,2026-01-09,2026-01-16,C000218,Skincare,1,1444.47,Net Banking,Ecom
O00000259,2026-01-19,2026-01-22,C000219,Haircare,2,4346.67,Credit Card,Qcom
O00000260,2026-01-13,2026-01-21,C000220,Skincare,1,1996.36,UPI,Website
O00000261,2026-01-20,2026-01-28,C000221,Skincare,1,2912.87,UPI,GoogleAds
O00000262,2026-01-09,2026-01-11,C000221,Haircare,3,1877.22,UPI,Website
O00000263,2026-01-09,2026-01-16,C000222,Haircare,1,1725.32,Credit Card,GoogleAds
O00000264,2026-01-04,2026-01-06,C000223,Haircare,1,1816.68,Credit Card,Website
O00000265,2026-01-21,2026-01-29,C000224,Skincare,2,2474.61,UPI,Website
O00000266,2026-01-12,2026-01-18,C000225,Haircare,1,1147.24,Credit Card,GoogleAds
O00000267,2026-01-05,2026-01-09,C000226,Haircare,1,2123.55,Net Banking,GoogleAds
O00000268,2026-01-25,2026-01-29,C000227,Skincare,2,3820.95,Credit Card,Website
O00000269,2026-01-25,2026-01-27,C000228,Skincare,1,1420.82,Credit Card,Website
O00000270,2026-01-08,2026-01-12,C000229,Wellness,2,1111.42,Debit Card,Qcom
O00000271,2026-01-17,2026-01-21,C000229,Haircare,2,1292.23,Credit Card,Website
O00000272,2026-01-21,2026-01-29,C000230,Skincare,1,2156.78,Net Banking,Ecom
O00000273,2026-01-19,2026-01-21,C000230,Skincare,2,3490.71,UPI,Qcom
O00000274,2026-01-09,2026-01-16,C000231,Skincare,1,1951.46,Debit Card,Meta
O00000275,2026-01-13,2026-01-20,C000231,Haircare,1,1003.79,UPI,Website
O00000276,2026-01-23,2026-01-31,C000232,Haircare,1,1550.39,Debit Card,Qcom
O00000277,2026-01-06,2026-01-11,C000232,Haircare,1,2105.5,UPI,Qcom
O00000278,2026-01-14,2026-01-17,C000233,Haircare,2,3402.69,UPI,Ecom
O00000279,2026-01-02,2026-01-08,C000233,Skincare,1,2063.81,Credit Card,Meta
O00000280,2026-01-07,2026-01-08,C000234,Haircare,2,1351.37,Debit Card,Ecom
O00000281,2026-01-03,2026-01-07,C000235,Bath & Body,1,374.12,UPI,Website
O00000282,2026-01-18,2026-01-19,C000236,Haircare,1,672.65,Credit Card,Ecom
O00000283,2026-01-14,2026-01-17,C000237,Haircare,2,4170.07,UPI,GoogleAds
O00000284,2026-01-21,2026-01-25,C000238,Haircare,1,1489.73,Credit Card,Qcom
O00000285,2026-01-01,2026-01-07,C000239,Wellness,3,2145.51,UPI,Ecom
O00000286,2026-01-12,2026-01-19,C000240,Skincare,1,876.31,Credit Card,Qcom
O00000287,2026-01-17,2026-01-19,C000241,Haircare,1,516.47,Credit Card,Website
O00000288,2026-01-09,2026-01-14,C000242,Haircare,1,1441.72,UPI,Website
O00000289,2026-01-08,2026-01-14,C000242,Skincare,2,3499.21,COD,Website
O00000290,2026-01-11,2026-01-15,C000243,Skincare,1,3162.29,UPI,Qcom
O00000291,2026-01-08,2026-01-13,C000244,Makeup,2,1599.4,COD,Ecom
O00000292,2026-01-01,2026-01-05,C000245,Fragrance,1,1118.42,Credit Card,GoogleAds
O00000293,2026-01-23,2026-01-26,C000245,Haircare,1,1024.8,COD,Qcom
O00000294,2026-01-26,2026-01-29,C000246,Skincare,1,2485.25,Net Banking,Website
O00000295,2026-01-03,2026-01-05,C000246,Skincare,2,3170.62,COD,Meta
O00000296,2026-01-19,2026-01-26,C000247,Bath & Body,3,743.28,Debit Card,GoogleAds
O00000297,2026-01-14,2026-01-20,C000248,Skincare,1,2731.17,UPI,Website
O00000298,2026-01-09,2026-01-17,C000249,Fragrance,2,3839.95,Net Banking,GoogleAds
O00000299,2026-01-26,2026-01-27,C000250,Haircare,2,4799.82,COD,GoogleAds
O00000300,2026-01-11,2026-01-16,C000251,Haircare,2,3324.93,UPI,Ecom
O00000301,2026-01-01,2026-01-08,C000252,Makeup,1,441.34,UPI,Website
O00000302,2026-01-17,2026-01-22,C000253,Skincare,3,2896.04,Debit Card,Ecom
O00000303,2026-01-20,2026-01-24,C000253,Haircare,1,1839.5,UPI,Website
O00000304,2026-01-25,2026-02-02,C000254,Makeup,2,2543.22,Debit Card,Ecom
O00000305,2026-01-24,2026-02-01,C000255,Haircare,1,1298.17,Credit Card,Website
O00000306,2026-01-13,2026-01-19,C000256,Makeup,1,1071.25,UPI,Ecom
O00000307,2026-01-25,2026-02-02,C000256,Skincare,3,5373.95,Debit Card,Website
O00000308,2026-01-25,2026-01-31,C000257,Haircare,1,780.88,Credit Card,Website
O00000309,2026-01-12,2026-01-15,C000257,Skincare,2,1755.31,Credit Card,Ecom
O00000310,2026-01-11,2026-01-15,C000258,Haircare,2,1873.28,COD,Website
O00000311,2026-01-03,2026-01-05,C000258,Fragrance,2,6066.61,Credit Card,Qcom
